categoria,material,unidad,precio_ars,proveedor_ref,variacion_mensual_pct,fecha_actualizacion
Cementos,"Cemento Portland CPN40 x 50kg",bolsa,11800,Loma Negra / Avellaneda,2.5,2026-04-15
Cementos,"Cal hidráulica x 30kg",bolsa,6500,Cacique,2.0,2026-04-15
Cementos,"Cemento de albañilería x 40kg",bolsa,7200,Holcim,2.2,2026-04-15
Hierros,"Barra de hierro Ø6mm x 12m",barra,4800,Acindar,1.8,2026-04-15
Hierros,"Barra de hierro Ø8mm x 12m",barra,8500,Acindar,1.8,2026-04-15
Hierros,"Barra de hierro Ø10mm x 12m",barra,13500,Acindar,2.0,2026-04-15
Hierros,"Barra de hierro Ø12mm x 12m",barra,19500,Acindar,2.0,2026-04-15
Hierros,"Barra de hierro Ø16mm x 12m",barra,34500,Acindar,2.0,2026-04-15
Hierros,"Malla electrosoldada Ø4.2 15x15 (2x3m)",hoja,32000,Acindar,1.5,2026-04-15
Hierros,"Alambre de atar Ø16 x 1kg",kg,4200,Acindar,1.5,2026-04-15
Ladrillos,"Ladrillo hueco 8x18x33",unidad,110,Fanelli,1.2,2026-04-15
Ladrillos,"Ladrillo hueco 12x18x33",unidad,150,Fanelli,1.2,2026-04-15
Ladrillos,"Ladrillo hueco 18x18x33",unidad,220,Fanelli,1.4,2026-04-15
Ladrillos,"Ladrillo común",unidad,78,Varios,1.0,2026-04-15
Ladrillos,"Block de cemento 20x20x40",unidad,360,Varios,1.5,2026-04-15
Áridos,"Arena gruesa lavada",m3,36000,Cantera,1.8,2026-04-15
Áridos,"Arena fina",m3,31000,Cantera,1.5,2026-04-15
Áridos,"Piedra partida 6/20",m3,39000,Cantera,1.5,2026-04-15
Áridos,"Cascote molido",m3,20000,Cantera,1.0,2026-04-15
Hormigón,"Hormigón elaborado H21 (bombeable)",m3,210000,Lomax / Hormetal,2.5,2026-04-15
Hormigón,"Hormigón elaborado H25 (bombeable)",m3,225000,Lomax / Hormetal,2.5,2026-04-15
Hormigón,"Hormigón elaborado H30 (bombeable)",m3,245000,Lomax / Hormetal,2.8,2026-04-15
Hormigón,"Servicio de bombeo (por viaje)",viaje,95000,Lomax / Hormetal,2.0,2026-04-15
Aislaciones,"Membrana asfáltica 4mm c/ aluminio (10m²)",rollo,48000,Megaflex,2.0,2026-04-15
Aislaciones,"Membrana asfáltica 4mm s/ aluminio (10m²)",rollo,39000,Megaflex,2.0,2026-04-15
Aislaciones,"Poliestireno expandido (EPS) 25mm 1x1m",placa,3600,Telgopor,1.5,2026-04-15
Aislaciones,"Lana de vidrio 50mm (1.2x18m)",rollo,42000,Isover,1.8,2026-04-15
Cañerías,"Caño PVC Ø110 x 4m (desagüe)",unidad,21000,Tigre / Amanco,2.0,2026-04-15
